Number	Text	Original text in English (This column is ignored during the import)
1046322	<BODY> <BASEFONT COLOR = # DFDFC0> Como faço para mudar para o modo de guerra? </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>How do I switch to War Mode?</BASEFONT></BODY>
1046323	<BODY> <BASEFONT COLOR = # FF0000> Como faço para mudar para o modo de guerra? </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#FF0000>How do I switch to War Mode?</BASEFONT></BODY>
1046324	<BODY> <BASEFONT COLOR = # DFDFC0> Como eu sei que mongbat para atacar? </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>How do I know which mongbat to attack?</BASEFONT></BODY>
1046325	<BODY> <BASEFONT COLOR = # FF0000> Como eu sei que mongbat para atacar? </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#FF0000>How do I know which mongbat to attack?</BASEFONT></BODY>
1046326	<BODY> <BASEFONT COLOR = # DFDFC0> Right ... boa pergunta: Como você mudar para o modo de guerra </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Right... good question: How do you switch to War Mode?</BASEFONT></BODY>
1046327	<BODY> <BASEFONT COLOR = # DFDFC0> Não tem problema. Você alternar entre Guerra e Paz modos clicando no botão esquerdo paz ou a guerra em seu bonecos de papel. Você também pode usar o atalho de teclado, ALT-C. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>No problem. You switch between War and Peace modes by left clicking the Peace or War button on your paperdoll. You may also use the keyboard shortcut, ALT-C.</BASEFONT></BODY>
1046328	<BODY> <BASEFONT COLOR = # DFDFC0> Quando em modo de guerra, você vai tomar uma posição de combate e o botão no seu bonecos de papel vai dizer, 'War' e ficará vermelho. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>When in War Mode, you will take a combat stance and the button on your paperdoll will say, 'War' and will turn red.</BASEFONT></BODY>
1046329	<BODY> <BASEFONT COLOR = # DFDFC0> Importante: não faça duplo clique esquerdo alguém ou alguma coisa, enquanto no modo War menos que você queira atacá-los </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Important: Don't double left click anyone or anything while in War mode unless you want to attack them!</BASEFONT></BODY>
1046330	<BODY> <BASEFONT COLOR = # DFDFC0> Como faço para atacar o mongbat? </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>How do I attack the mongbat?</BASEFONT></BODY>
1046331	<BODY> <BASEFONT COLOR = # FF0000> Como faço para atacar o mongbat? </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#FF0000>How do I attack the mongbat?</BASEFONT></BODY>
1046332	<BODY> <BASEFONT COLOR = # DFDFC0> Outra boa pergunta: Como eu sei que mongbat para atacar </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Another good question: How do I know which mongbat to attack?</BASEFONT></BODY>
1046333	<BODY> <BASEFONT COLOR = # DFDFC0> O mongbat que destaca o cinza é o que você deve atacar. Quaisquer mongbats que destacam azul deve ser deixado sozinho. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>The mongbat that highlights grey is the one you should attack. Any mongbats that highlight blue should be left alone.</BASEFONT></BODY>
1046334	<BODY> <BASEFONT COLOR = # DFDFC0> Realce significa que enquanto no modo War, quando o cursor está sobre uma criatura alvo, aquela criatura é dada uma cor de destaque em todo o seu corpo. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Highlighting means that while in War mode, when the cursor is over a target creature, that creature is given a highlight color over its entire body.</BASEFONT></BODY>
1046335	<BODY> <BASEFONT COLOR = # DFDFC0> Quando estiver pronto, encontrar o mongbat que destaca cinza e atacá-lo. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>When you're ready, find the mongbat that highlights grey and attack it.</BASEFONT></BODY>
1046336	<BODY> <BASEFONT COLOR = # DFDFC0> Agora que o mongbat está morto, seu cadáver caiu no chão a seus pés. Duplo clique esquerdo do cadáver para revelar o que o mongbat estava carregando. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Now that the mongbat is dead, its corpse has fallen to the ground at your feet. Double left click the corpse to reveal what the mongbat had been carrying.</BASEFONT></BODY>
1046337	<BODY> <BASEFONT COLOR = # DFDFC0> A pilha de ouro é o seu ouro que foi roubado. E uau! A Cura Maior poção ... legal! Se você usar uma poção Cura Maior, que vai curar o dano recebido durante o combate. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>The pile of gold is your gold that was stolen. And wow! A Greater Heal potion... cool! If you use a Greater Heal potion, it will heal damage taken during combat.</BASEFONT></BODY>
1046338	<BODY> <BASEFONT COLOR = # DFDFC0> Para tirar esses itens, clique e segure o botão esquerdo do mouse em um deles, arrastá-lo em sua mochila aberta, e depois solte o botão esquerdo do mouse. Pegue os dois itens desta forma. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>To take these items, click and hold your left mouse button on one of them, drag it into your open backpack, and then release your left mouse button. Take both items this way.</BASEFONT></BODY>
1046339	<BODY> <BASEFONT COLOR = # DFDFC0> Great job obter o seu ouro! </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Great job getting your gold!</BASEFONT></BODY>
1046340	<BODY> <BASEFONT COLOR = # DFDFC0> Para deixar esta área. tomar as escadas no canto para a câmara central. Em seguida, subir as escadas no meio dessa câmara. Isto irá levá-lo para a cidade de Haven, onde você vai encontrar Uzeraan. Ele vai estar à espera para falar com você. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>To leave this area. take the stairs in the corner to the central chamber. Then ascend up the stairs in the middle of that chamber. This will take you to the city of Haven where you'll meet Uzeraan. He'll be waiting to speak with you.</BASEFONT></BODY>
1046341	<BODY> <BASEFONT COLOR = # DFDFC0> Ah, e ... Eu te imploro ... por favor não diga Uzeraan eu perdi o seu ouro. Por favor !! </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Oh, and... I beg of you... please don't tell Uzeraan I lost your gold. Please!!</BASEFONT></BODY>
1046342	<BODY> <BASEFONT COLOR = # DFDFC0> Farewell e se divertir! </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Farewell and have fun!</BASEFONT></BODY>
1046343	<BODY> <BASEFONT COLOR = # DFDFC0> equipar a sua arma quando estiver pronto. </ BASEFONT> </ BODY>	<BODY><BASEFONT COLOR=#DFDFC0>Equip your weapon whenever you're ready.</BASEFONT></BODY>
1046344	Número de «Horde Minions 'esquerda para matar:	Number of 'Horde Minions' left to kill: 
1046345	Número de «Horde Minions 'esquerda para matar:	Number of 'Horde Minions' left to kill: 
1046346	Número de Restless Souls esquerda para matar:	Number of Restless Souls left to kill: 
1046347	Headless 'morto:	'Headless' killed: 
1046348	Restless morto:	Restless killed:
1046349	Wisps sombra "morto:	'Shadow Wisps' killed:
1046350	Lingotes feitas:	Ingots made:
1046351	Picaretas feitas:	Pickaxes made:
1046352	Cota de malha feita:	Ringmail made:
1046353	Mandrake encontrado:	Mandrake found:
1046354	Obras concluídas:	Deeds completed:
1046355	Grande minério:	Large ore:
1046356	Se você está deixando a mansão, você deve aprender sobre o Mapa de Radar.	If you are leaving the mansion, you should learn about the Radar Map.
1046357	O mapa de radar (ou vista aérea) pode ser aberto pressionando 'ALT-R' em seu teclado. Ele mostra seu entorno imediato de vista de um pássaro olho.	The Radar Map (or Overhead View) can be opened by pressing 'ALT-R' on your keyboard. It shows your immediate surroundings from a bird's eye view.
1046358	Pressionando ALT-R duas vezes, vai ampliar o Radar Mapear um pouco. O mapa mostra os arredores imediatos da visão do olho do pássaro.	Pressing ALT-R twice, will enlarge the Radar Map a little.  The map shows you your immediate surroundings from a bird's eye view.
1046359	Você pode fechar o mapa com o botão direito sobre ele. Use o mapa Radar frequentemente como você viajar por todo o mundo para se familiarizar com o seu entorno.	You can close the map by right clicking on it.  Use the Radar Map often as you travel throughout the world to familiarize yourself with your surroundings.
1046360	Por que você está me dando isso? Você precisa fazer picaretas!	Why are you giving me this?  You need to make pickaxes!
1046361	Você não fizeram duas picaretas. Volte e me mostrar o seu trabalho quando você tem tanto concluída.	You have not made two pickaxes.  Come back and show me your work when you have both completed.
1046362	sim	Yes
1046363	Não	No
1046364	Lembre-se que os menus de contexto pode ser chamado por uma única esquerda clicando em algo (ou shift-esquerda clique se você tiver alterado a opção).	Remember that context menus can be called up by single left clicking something (or shift-left click if you have changed the option).
1046365	Depois de ter indicado o fornecedor que você deseja comprar algo, você será mostrada uma lista dos produtos que têm para oferecer.	After you have indicated to the vendor that you wish to purchase something, you will be shown a list of the goods they have to offer.
1046366	Falando de menus de contexto, você pode trazer o estado da sua missão, trazendo até próprio menu de contexto do seu avatar (single esquerda ou shift-esquerda clique você mesmo).	Speaking of context menus, you can bring up the status of your quest by bringing up your avatar's own context menu (single left, or shift-left click yourself).
1046367	Escolha a opção "Quest Log ' e todas as informações pertinentes ao seu estado de missão atual será mostrado a você.	Choose the 'Quest Log' option, and any information pertinent to your current quest status will be shown to you.
1046368	Para ajudar você a encontrar a localização do tesouro, você deve se familiarizar com o mapa de radar.	To help you find the location of the treasure, you should become familiar with the Radar Map.
1046369	O teletransporte para as cavernas é contra a parede norte desta sala.	The teleporter to the caves is against the north wall of this room.
1046370	Que a boa sorte e fortuna guiar seu caminho.	May good luck and fortune guide your way.
1046371	Uma vez que você sair da Moongate, a cidade será mais ou menos ao norte. Não deve ser difícil de encontrar. Encontrar Aegis e falar com ele uma vez que você está na cidade ..	Once you emerge from the Moongate, the city will be roughly to the north.  It should not be difficult to find.  Find Aegis and speak with him once you are in the city..
1046372	Na verdade, antes que você pode gastar esse dinheiro, você terá que levar o cheque a um banco e descontá-lo.	Actually, before you can spend this money, you will have to take the check to a bank and cash it.
1046373	NPC loja guardiões não aceita cheques como forma de pagamento. Cheques são uma maneira prática para transportar grandes somas de dinheiro sem ter que carregar todo esse ouro ao redor.	NPC shop keepers do not accept checks as payment.  Checks are a handy way to transport large sums of money without having to lug all that gold around.
1046374	Descontar um cheque é muito fácil. Tudo que você tem a fazer é localizar um banqueiro NPC ou Minter, andar perto deles e dizer a palavra 'Banco'.	Cashing a check is very easy.  All you have to do is locate a NPC Banker or Minter, walk near them and say the word 'Bank'.
1046375	Coloque o cheque em sua caixa de banco e clique duas vezes para descontá-lo. Banqueiros e Minters pode ser encontrado dentro de bancos em todo o mundo.	Place the check into your bank box and double click it to cash it.  Bankers and Minters can be found inside of banks across the world.
1046376	Há um banco não muito longe daqui, Sudeste desta loja, na verdade. Os bancos estão frequentemente lotados com pessoas realização de negócios.	There is a bank not too far from here, Southeast of this shop, actually.  Banks are often crowded with people conducting business.
1046377	Vá agora para descontar seu cheque. A pessoa descontar seu cheque irá explicar os detalhes do sistema bancário da Britannia para você.	Go now to cash your check.  The person cashing your check will explain the details of Britannia's banking system to you.
1046378	Ah! Obrigado aventureiro nobre! Eu aceitei o cheque e descontou isso por você. O dinheiro pode ser encontrado em sua caixa de banco.	Ah! Thank you noble adventurer!  I have accepted your check and cashed it for you.  The cash can be found in your bank box.
1046379	Para abrir sua caixa de banco, você deve estar perto de um banqueiro ou Minter e dizer a palavra 'Banco'.	To open your bank box, you must be near a Banker or Minter and say the word 'Bank'.
1046380	Claro que você também pode abrir sua caixa de banco usando o menu de contexto de um Minter ou Banker.	Of course you can also open your bank box by using a Minter's or Banker's context menu.
1046381	caixas de banco no Britannia é especial na medida em que os bens que você colocar em uma caixa de banco em qualquer lugar, pode ser acessado a partir de sua caixa de banco em qualquer outro lugar na terra.	Bank boxes in Britannia are special in that the goods you place in to a bank box anywhere, can be accessed from your bank box anywhere else in the land.
1046382	Ou seja, a sua caixa de banco, juntamente com todos os produtos que você colocou nele, é acessível a partir de qualquer banco na terra.	That is to say, your bank box, along with any goods you placed into it,  is accessible from any bank in the land.
1046383	O lugar mais seguro para qualquer um dos seus bens, é a sua caixa de banco. Ninguém pode acessá-lo a não ser para você.	The safest place for any of your goods, is your bank box.  No one can access it except for you.
1046384	Isso é muito bonito tudo o que há a serviços bancários. Aposto que você está ansioso para explorar o mundo, por isso não vou segurá-lo por mais tempo.	That's pretty much all there is to banking.  I bet you are eager to explore the world, so I won't hold you up any longer.
1046385	Não tenho tarefas para você completar, e você está livre para se aventurar no mundo em seu próprio país.	I've no tasks for you to complete, and you are free to adventure in the world on your own.
1046386	Que a sua caixa de estouro banco com os despojos de suas aventuras. Iremos, sem dúvida, ver outra vez.	May your bank box overflow with the spoils of your adventures.  We shall no doubt see each other again.
1046387	Despedida.	Farewell.
1046388	Localize o banco e encontrar o NPC Banker (ou Minter) no interior. Em seguida, dizer a palavra 'Banco' e coloque o cheque em sua caixa de banco e clique duas vezes nele.	Locate the bank and find the NPC Banker (or Minter) inside.  Then, say the word 'Bank' and place your check into your bank box and double click it.
1046389	Para tornar mais fácil para encontrar o tesouro, não se esqueça de usar o seu mapa de radar.	To make it easier to find the Treasure, be sure to use your radar map.
1046390	Para fazer o seu ataque, você provavelmente irá querer usar seus poderes mágicos, por isso permita-me dar-lhe uma breve explicação da magia.	To make your attack, you will most likely wish to use your magical powers, so allow me to give you a brief explanation of magic.
1046391	Na maioria das vezes, feitiços começam como pergaminhos escritos por tanto escribas NPC ou jogador. Uma vez que um feitiço foi descrito com sucesso, você tem duas opções:	Most often, spells start out as scrolls written by either NPC or Player scribes.  Once a spell has been successfully scribed, you have two choices:
1046392	Um: Você pode lançar o feitiço usando (duplo clique) o pergaminho. Não há reagentes de magia (ingredientes) são obrigados a lançar magias de pergaminhos. Moldagem de um pergaminho consome o pergaminho.	One: You can cast the spell by using (double click) the scroll.  No spell reagents (ingredients) are required to cast spells from scrolls. Casting from a scroll consumes the scroll.
1046393	Dois: Você pode deixar cair o pergaminho no seu livro de feitiços, onde ele será gravado permanentemente. Você pode, em seguida, lançar o feitiço de seu livro de feitiços qualquer momento que desejar.	Two: You can drop the scroll on to your spellbook where it will be permanently written.  You can then cast the spell from your spellbook any time you wish.
1046394	Para lançar um feitiço de um livro de feitiços, os reagentes necessários são necessários (listado com a magia em seu livro de magias).	To cast a spell from a spellbook, the necessary reagents are required (listed with the spell in your spellbook). 
1046395	Feitiços a partir de um livro de feitiços e lançando feitiços de pergaminhos requer uma certa quantidade de Mana. A quantidade real de Mana necessária difere de círculo para círculo.	Casting spells from a spellbook AND casting spells from scrolls requires a certain amount of mana. The actual amount of mana required differs from circle to circle.
1046396	O 1º círculo de feitiços é o mais fácil de feitiços para lançar (e também tem a obrigação de Mana menos), enquanto feitiços 8ª círculo são difíceis mesmo para um Mage Grandmaster.	The 1st circle of spells is the easiest of spells to cast (and also has the least mana requirement) whilst 8th circle spells are difficult even for a Grandmaster Mage.
1046397	Para lançar realmente uma magia de seu livro de magias, você deve primeiro abrir o seu livro de feitiços (duplo clique). Isso abre o livro para o 1º e 2º períodos círculo.	To actually cast a spell from your spellbook, you must first open your spellbook (double click).  This opens the book to the 1st & 2nd circle spells.
1046398	Você pode virar as páginas clicando único canto no lado superior direito do livro de feitiços, ou você pode único clique no números circulados na parte inferior para saltar para círculo específico.	You can turn pages by single clicking the corner in the top right hand side of the spellbook, or you can single click on the circled numbers on the bottom to jump to specific circle.
1046399	Você pode clicar duas vezes qualquer um dos nomes feitiço para fazer uma tentativa de lançar o feitiço. Para ver os requisitos de reagentes de uma mágica, um único clique sobre o nome do feitiço.	You can double click any of the spell names to make an attempt at casting that spell.  To see a spell's reagent requirements, single click on the spell name.
1046400	clique simples em um nome de feitiço vai dar-lhe todos os detalhes do feitiço. Você pode ver os requisitos de reagentes acima mencionados, bem como o ícone do feitiço.	Single clicking on a spell name will give you all the details of the spell.  You can see the aforementioned reagent requirements as well as the spell's icon.
1046401	Outra maneira de lançar um feitiço é clicar no ícone do feitiço daquela mágica. Você pode arrastar o ícone de qualquer feitiço fora do livro e colocá-lo em qualquer lugar na janela do jogo.	Another way of casting a spell is to click on that spell's spell icon.  You can drag any spell's icon off of the book and place it anywhere in the game window.
1046402	Uma vez que um ícone do feitiço é na janela do jogo, ele vai ficar lá, mesmo se você fechar o livro de feitiços. Esta é uma maneira fácil de configurar muitos feitiços para fundição rápida.	Once a spell icon is in the game window, it will stay there even if you close the spellbook.  This is an easy way to set up many spells for quick casting.
1046403	Antes de ir para a batalha, você deve sempre verificar o seu fornecimento de reagentes e ter certeza de que seus ícones de magia configurar.	Before going into battle, you should always check your reagent supply and make sure you have your spell icons set up.
1046404	Agora você tem o suficiente Mandrake em seu bloco para completar a sua tarefa para Uzeraan. Encontrar Uzeraan e dar-lhe 75 raízes de mandrágora arrastando-os para ele.	You now have enough Mandrake in your pack to complete your task for Uzeraan.  Find Uzeraan and give him 75 mandrake roots by dragging them onto him.
1046405	Você tem o suficiente Mandrake em seu bloco para completar a sua tarefa para Uzeraan. Encontrar Uzeraan e dar-lhe 75 raízes de mandrágora arrastando-os para ele.	You have enough Mandrake in your pack to complete your task for Uzeraan.  Find Uzeraan and give him 75 mandrake roots by dragging them onto him.
1046406	Eu tirei-lhe uma imagem do que o sinal Reagente Loja parece (à esquerda). Lembre-se que você também pode olhar para sinais (único clique) da loja para lê-los.	I have drawn you a picture of what the Reagent Shop sign looks like (left).   Remember that you can also look at (single click) shop signs to read them.
1046407	Marcação runas é fácil. Vou dar-lhe uma rápida explicação de como ele funciona, então eu aconselho que você marcar uma runa algo em torno de minha mansão para que possa voltar rapidamente.	Marking runes is easy.  I'll give you a quick explanation of how it works, then I would advise that you mark a rune somewhere around my mansion so you can return quickly.
1046408	Para marcar uma runa, você deve estar no lugar onde você deseja que apareça quando lançar o "recall" ou feitiço 'Gate'.	To mark a rune, you must stand in the place where you wish to appear when casting the 'Recall' or 'Gate' spell.
1046409	Em seguida, você lançar o feitiço marca (a partir de um rolo ou de seu livro de magias, como já explicado anteriormente). Uma vez que o feitiço é lançado você vai ter um cursor alvo.	Then you cast the mark spell (either from a scroll or your spellbook, as I have explained earlier).  Once the spell is cast you will get a targeting cursor.
1046410	Alvejar a runa que você deseja marcar e clique nele. Se o seu feitiço for bem sucedida, a runa vai brilhar e será a partir de então ser 'marcados'.	Target the rune you wish to mark and single click it.  If your spell is successful, the rune will sparkle and will from then on be 'marked'.
1046411	Olhando para a runa (único clique) irá dar-lhe a descrição da runa. Se você deseja alterar a descrição padrão, basta clicar duas vezes a runa.	Looking at the rune (single click) will give you the description of the rune.  If you wish to change the default description, simply double click the rune.
1046412	Depois de ter clicado duas vezes a runa, você receberá um aviso de texto. Digite a nova descrição e pressione a tecla [ENTER] no seu teclado.	Once you have double clicked the rune, you will get a text prompt.  Enter the new description and press the [enter] key on your keyboard.
1046413	Ao nomear todas as suas runas para algo que é significativo para você, você pode manter sua biblioteca runa organizado e fácil de usar.	By naming all of your runes to something that is meaningful to you, you can keep your rune library organized and easy to use.
1046414	os restos de ~1_NAME~	the remains of ~1_NAME~
1046415	~1_bulkname~/~2_amountreq~~3_intamount~ /~4_excep~/~5_ingottype~/~6_itemname~	~1_bulkname~ / ~2_amountreq~ ~3_intamount~ / ~4_excep~ / ~5_ingottype~ / ~6_itemname~
1046416	Durante o combate, é importante manter um olho em seus pontos de vida. Se eles nunca descer abaixo de 0, você vai morrer.	During combat it is important to keep an eye on your hit points.  Should they ever drop below 0, you will die.
1046417	Para abrir a barra de status, único clique-se e arraste longe do seu avatar. Dê um duplo clique na barra de status para ver detalhes.	To bring up your status bar, single click yourself and drag away from your avatar.  Double click the status bar to see details.
1046418	Se a sua saúde cai muito baixo, você deve curar-se com ligaduras ou poções de cura. Cure-se frequentemente, e você não deve ter problemas para sobreviver.	If your health drops too low, you should heal yourself with bandages or healing potions.  Heal yourself often, and you should have no trouble surviving.
1046419	Só mais uma coisa antes de partir para a batalha:	One more thing before you depart for battle:
1046420	Você encontrou um Moongate. Lembre-se de escolher "Moonglow" como seu destino quando você entrar no portão.	You have found a Moongate.  Remember to choose 'Moonglow' as your destination when you step into the gate.
1046421	Moonglow é onde Aegis está esperando por você em sua loja.	Moonglow is where Aegis is waiting for you in his shop.
1046422	Parabéns! Você completou todas as suas missões!	Congratulations! You've completed all of your quests!
1046423	Eu posso abrir uma Moongate para você daqui a uma área perto do Moongate que podem levá-lo para a cidade de Moonglow.	I can open a Moongate for you from here to an area close to the Moongate that can take you to the city of Moonglow.
1046424	Eu só tenho runas marcadas para perto do Moongate, mas o sextante irá ajudá-lo a encontrar o resto do caminho.	I only have runes marked for near the Moongate, but the sextant will help you find the rest of the way.
1046425	Loja Aegis '	Aegis' Shop
1046426	Eu tirei-lhe uma imagem à esquerda do que o sinal na Loja Aegis 'parece. Deve ajudá-lo encontrá-lo um pouco mais fácil.	I have drawn you a picture to the left of what the sign on Aegis' Shop looks like. It should help you find it a little easier.
1046427	Você não tem reagentes suficientes para ir em segurança. Você deve adquirir pelo menos 35 de cada reagente.	You do not have enough reagents to safely go on.  You should acquire at least 35 of each reagent.
1046428	Existem 8 tipos de reagente: Mandrake, Nightshade, Pérola Negra, Sulfurous Ash, seda de aranha, alho, ginseng e Bloodmoss.	There are 8 types of reagent: Mandrake, Nightshade, Black Pearl, Sulfurous Ash, Spider's Silk, Garlic, Ginseng and Bloodmoss.
1046429	As cavernas tendem a ser escuro, por isso não deixe de lançar o feitiço 'Night Sight' em si mesmo se você tem problemas para ver.	The caves tend to be dark, so be sure to cast the 'Night Sight' spell on yourself if you have trouble seeing.
1046430	platemail (feminino)	platemail (female)
1046431	platemail (túnica)	platemail (tunic)
1046432	escudo pipa (dyeable)	kite shield (dyeable)
1046433	escudo pipa (pequeno)	kite shield (small)
1046434	Com Cristal (Receptor)	Com Crystal (Receiver)
1046435	Com Cristal (Sender) com 500 cargas	 Com Crystal (Sender) with 500 charges
1046436	Com Cristal (Sender) com 1000 cargas	Com Crystal (Sender) with 1000 charges
1046437	Com Cristal (Sender) com 2000 cargas	Com Crystal (Sender) with 2000 charges
1046438	Alvo o pano de usar.	Target the cloth to use.
1046439	Isso não é um alvo válido.	That is not a valid target.
1046440	Bola Bolas	Bola Balls
1046441	bola	bola
1046442	Você só pode coisas armadilha que você está carregando.	You can only trap things you are carrying.
1046443	Que já está preso.	That is already trapped.
1046444	Use caneta de um cartógrafo para desenhar mapas.	Use a mapmaker's pen to draw maps.
1046445	kit de remoção armadilha facção	faction trap removal kit
1046446	Este é agora um mapa do nível um tesouro.	This is now a level one treasure map.
1046447	Apenas um jovem jogador pode usar este mapa do tesouro.	Only a young player may use this treasure map.
1046448	Primeiro, você deve matar os guardas antes que você possa abrir esta caixa.	You must first kill the guardians before you may open this chest.
1046449	A moongate é do Norte a partir daqui	A moongate is North from here
1046450	A moongate é Nordeste a partir daqui	A moongate is North-East from here
1046451	A moongate é Oriental a partir daqui	A moongate is East from here
1046452	A moongate é do Sudeste a partir daí	A moongate is South-East from there
1046453	A moongate é Sul a partir daqui	A moongate is South from here
1046454	A moongate é Sudoeste daqui	A moongate is South-West from here
1046455	A moongate é o Ocidente a partir daqui	A moongate is West from here
1046456	A moongate é North-West daqui	A moongate is North-West from here
1046457	* A magia falha *	* the magic fails *
1046458	Água	Water
1046459	Pumpkins	Pumpkins
1046460	Bagas tribais	Tribal Berries
1046461	Tortas de abóbora unbaked	Unbaked Pumpkin Pies
1046462	A cidade é do Norte a partir daqui	A town is North from here
1046463	A cidade é Nordeste a partir daqui	A town is North-East from here
1046464	A cidade fica a leste de aqui	A town is East from here
1046465	A cidade é do Sudeste a partir daqui	A town is South-East from here
1046466	A cidade é Sul a partir daqui	A town is South from here
1046467	A cidade é Sudoeste daqui	A town is South-West from here
1046468	A cidade fica a oeste daqui	A town is West from here
1046469	A cidade é North-West daqui	A town is North-West from here
1046470	Use um kit de ferramentas de Fletcher para fazer arcos e munições.	Use a fletcher's toolkit to make bows and ammunition.
1046471	Possibilidade de falha:	Chance of Failure:
1046472	Qualidade média:	Average Quality:
1046473	Qualidade excepcional:	Exceptional Quality:
1046474	Acreditamos vil "horda Minions são responsáveis ​​por esses desaparecimentos.	We believe vile 'Horde Minions' are responsible for these disappearances.
1046475	Vá em frente e matar pelo menos 6 deles "Horde Minions '. Veja se você pode encontrar qualquer evidência de nossos homens desaparecidos.	Go forth and kill at least 6 of these 'Horde Minions'. See if you can find any evidence of our missing men.
1046476	Você, no entanto, têm mostrado grande Valor em sua batalha contra os miseráveis ​​'Horde Minions'. Estou satisfeito.	You, however, have shown great Valor in your battle against the wretched 'Horde Minions'. I am pleased.
1046477	Em seu caminho para fora, não se esqueça de dar uma olhada no 'Horde Minion' na gaiola perto da fonte de água.	On your way out, be sure to take a look at the 'Horde Minion' in the cage near the water fountain.
1046478	Você acabou morto o seu primeiro 'Minion Horde ". Agora é um bom momento para verificar sua saúde e curar-se, se for necessário.	You have just slain your first 'Horde Minion'.  Now is a good time to check your health and heal yourself, if need be.
1046479	Horde Minions mortos:	Horde Minions killed:
1046480	Bem feito! Ter concluído a sua tarefa de matar o "Horde Minions '.	Well done! You have completed your task of slaying the 'Horde Minions'.
1046481	Você aceitou um convite para a guerra:	You have accepted an invitation for war:
1046482	Você aceitou um convite para a guerra de ~1_NAME~	You have accepted an invitation for war from ~1_NAME~
1047000	Está actualmente em hora de energia.	You are currently in power hour.
1047001	Horas: Minutos para próxima hora de energia:	Hours : Minutes to next power hour: 
1047002	Você está em sua hora de poder!	You are in your power hour!
1047003	Sua hora de energia vai começar em breve.	Your power hour will start soon.
1047004	Songpyun	Songpyun
1047005	Você deve ter pelo menos nível aprendiz para criar um contrato de serviço de reparo.	You must be at least apprentice level to create a repair service contract.
1047006	Um contrato de serviço de reparação de um ferreiro aprendiz.	A repair service contract from an apprentice blacksmith.
1047007	Um contrato de serviço de reparação de artífice de ferreiro.	A repair service contract from a journeyman blacksmith.
1047008	Um contrato de serviço de reparação de um ferreiro especialista.	A repair service contract from an expert blacksmith.
1047009	Um contrato de serviço de reparação de um ferreiro adepto.	A repair service contract from an adept blacksmith.
1047010	Um contrato de serviço de reparação de um mestre ferreiro.	A repair service contract from a master blacksmith.
1047011	Um contrato de serviço de reparação de um ferreiro grande mestre.	A repair service contract from a grandmaster blacksmith.
1047012	O contrato deve ser em sua mochila para usá-lo.	The contract must be in your backpack to use it.
1047013	Você deve estar perto de uma loja de ferreiro a utilizar o contrato de reparação.	You must be near a blacksmith shop to use the repair contract.
1047014	Você não pode consertar isso.	You can't repair that.
1047015	Sinto muito, não posso aceitar um contrato como mercadoria.	I'm sorry, I cannot accept a contract as merchandise.
1047016	escritura de commodities	commodity deed
1047017	um ato de commodities preenchido	a filled commodity deed
1047018	Ambos os participantes de um comércio casa deve estar dentro de duas peças do sinal.	Both participants of a house trade must be within two tiles of the sign.
1047019	rolos de tecido	bolts of cloth
1047020	pilhas de pano dobrado	piles of folded cloth
1047021	pedaços de pano	pieces of cloth
1047022	pedaços de couro	pieces of leather
1047023	pilhas de couros	piles of hides
1047024	Para reivindicar os recursos representados com este feito, clique duplo-lo em sua caixa de banco.	To claim the resources represented by this deed, double-click it in your bank box.
1047025	A tentativa de resgatar a escritura de commodities falhou.	The attempt to redeem the commodity deed failed.
1047026	Que devem estar em sua caixa de banco para usá-lo.	That must be in your bank box to use it.
1047027	Isso não é uma mercadoria, os banqueiros vão encher um ato de commodities com.	That is not a commodity the bankers will fill a commodity deed with.
1047028	A escritura de commodities já foi preenchido.	The commodity deed has already been filled.
1047029	Alvo da mercadoria para preencher este feito com.	Target the commodity to fill this deed with.
1047030	A mercadoria foi preenchido.	The commodity has been filled.
1047031	A mercadoria foi resgatado.	The commodity has been redeemed.
1048000	Você bloqueá-lo.	You lock it.
